conversation_id,in_reply_to_user_id,public_metrics,created_at,author_id,id,text
1466971293094449153,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:23:05.000Z,1069701071445127174,1466971293094449153,"engraçado q o Itachi q não fuma tem moh voz de velho fumante 
e o sanji q fuma igual o fiuk tem voz de adolescente"
1466971155915542529,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:22:33.000Z,855406585899876353,1466971155915542529,"Sou igualin a super vulgar, é tímido? Não quer se expôr? Não quer ser zoado? Não vá, não é seu lugar, simples. Oshe KKKKKKKMM, aiaia fiuk."
1466878631289012232,62557485,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:22:03.000Z,1346159979825405955,1466971030958845954,@Tatawerneck Toda vez que eu vejo o fiuk na teva eu me lembro como a meritocracia é uma falácia
1466970767187492869,,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:21:00.000Z,59036470,1466970767187492869,"que show de constrangimento nessa entrevista do fiuk na tata, que cara zzzzzzzz meu deus."
1466970623108915203,,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2021-12-04T03:20:26.000Z,4778011450,1466970623108915203,aí na boa o fiuk é MUITO chato como q pode ?
1466970606570770435,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:20:22.000Z,3362313635,1466970606570770435,eu nem vou assistir o lady night com o fiuk pra não não passar mais raiva do que ele já me fez passar no bbb
1466598221753425921,1459390347008745474,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:19:57.000Z,1412929560077873154,1466970502271062023,"@AcervoTata Fiuk consegue constranger Tatá Werneck após pergunta de relacionamento. Em virtude disso, os trechos estão picotados e exibidos em uma forma estranha.... 😶 #LadyNight"
1466970399237939206,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:19:32.000Z,60693070,1466970399237939206,"Todo mundo no Twitter tirando uma com a cara do Fiuk, até aí beleza, quem assistiu BBB sabe que o cara é um mala. Mas a Tata Werneck, pelo amor de Deus. Eu adorava ela na MTV só que hoje em dia acho extremamente grosseira, forçada e sem graça."
1466970273438216192,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:19:02.000Z,512591119,1466970273438216192,se um dia c 12 anos fui fã do fiuk não me lembro
1466970260658167819,,"{'retweet_count': 6, 'reply_count': 2, 'like_count': 25, 'quote_count': 0}",2021-12-04T03:18:59.000Z,1239246168,1466970260658167819,"Fica bem meu amor 💙✨ estaremos sempre aqui como diz “nós vamos estar juntos mesmo quando não estamos perto, juntos seremos sempre [+]” eu te amo, dorme bem tá? Tudo vai melhorar.. @Fiuk"
1466969845656965124,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:17:20.000Z,3133930373,1466969845656965124,cade o fiuk rebatendo as críticas pra eu descer a bicuda nele
1466800770695806982,1096068788649365506,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:17:16.000Z,814164412718346244,1466969828443541506,@xlelesilva @HugoGloss @Fiuk Até essa tal beleza é forçada nesse cara..ele parece uma casca de grilo sem alma
1466721709529210887,1399436877590052865,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:15:55.000Z,1358433264613089286,1466969487056556036,@Lelisdiazz @centraldadiaz @Carladiaz Culpa dos fãs dela que votaram no Rodolfo em vez de votar no FIuk
1466969281032241152,,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:15:06.000Z,1374422914645196803,1466969281032241152,tata vc é maravilhosa linda perfeita mas n dá o fiuk é chato dms como q n fala de um homi desse??? https://t.co/gmacKDQ53J
1466878631289012232,62557485,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:15:00.000Z,1243403418082791424,1466969257363791873,"@Tatawerneck Tudo bem Tata! Todo mundo tem seu flop, e o programa com Fiuk é muito flop"
1466610590894354432,3421062633,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:14:20.000Z,1456403815897477120,1466969088404643842,@onlyponny_ Ressuscita fiuk pra passar vergonha não sei quem é mas chato tata ou fiuk sem paciência tem programa que não tenho saco viu
